crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1047402,4518,03C,NS,600,Not Sustained,Unsustained,0,2531,19,,,,2011-06-16 18:00:00,2011-08-02,2012-10-12,83,not-sustained
1047548,4518,03G,UN,600,Unfounded,Unsustained,0,1132,17,3900,W FLOURNOY ST,CHICAGO IL 60624,2011-07-20 14:31:00,2011-08-08,2012-09-12,940,not-sustained
1053322,4519,04E,,,Unknown,Unknown,?,1433,17,1500,W NORTH AVE,CHICAGO IL 60642,2012-04-13 00:00:00,2012-04-14,2012-06-26,171,unknown
1071703,4520,04H,,600,No Affidavit,Unsustained,0,0431,17,9744,S HOXIE AVE,CHICAGO IL 60617,2014-09-23 22:56:00,2014-09-25,2014-11-06,1223,not-sustained
1055646,4521,03C,,600,No Affidavit,Unsustained,0,1112,19,,,,2012-07-14 23:00:00,2012-07-18,2012-10-11,940,not-sustained
1058909,4522,03B,,600,No Affidavit,Unsustained,0,0215,17,314,E 47TH ST,CHICAGO IL 60653,2012-12-08 11:30:00,2012-12-08,2013-03-26,8,not-sustained
1063624,4522,04E,,600,No Affidavit,Unsustained,0,0224,17,4900,S MICHIGAN AVE,CHICAGO IL,2013-07-16 11:00:00,2013-07-17,2013-10-23,1066,not-sustained
1056664,4524,10V,UN,600,Unfounded,Unsustained,0,1522,19,,,,2012-06-17 19:30:00,2012-08-29,2013-03-08,543,not-sustained
1047432,4525,03D,,600,No Affidavit,Unsustained,0,0915,17,4900,S HOYNE AVE,CHICAGO IL,2011-08-02 23:40:00,2011-08-03,2011-09-29,465,not-sustained
1048721,4525,10T,,600,No Affidavit,Unsustained,0,0924,17,1016,W 32ND ST,CHICAGO IL 60608,2011-09-21 13:15:00,2011-09-22,2011-11-29,1327,not-sustained
1048850,4525,03G,,600,No Affidavit,Unsustained,0,0932,17,1700,W GARFIELD BLVD,CHICAGO IL 60609,2011-09-27 11:30:00,2011-09-27,2011-11-29,465,not-sustained
1065032,4525,03C,,600,No Affidavit,Unsustained,0,0935,19,,,,2013-09-20 11:52:00,2013-09-20,2013-11-06,932,not-sustained
1069676,4525,03B,,600,No Affidavit,Unsustained,0,0924,19,,,,2014-06-08 22:00:00,2014-06-08,2014-09-29,925,not-sustained
1062396,4526,05Q,,600,No Affidavit,Unsustained,0,0131,17,2200,S MICHIGAN AVE,CHICAGO IL 60616,2012-05-20 00:00:00,2013-05-22,2013-08-22,24,not-sustained
1062359,4526,05Q,,600,No Affidavit,Unsustained,0,0112,17,,N STATE ST,CHICAGO IL,2013-05-19 19:30:00,2013-05-21,2013-07-16,297,not-sustained
1070691,4526,03D,UN,600,Unfounded,Unsustained,0,1121,17,755,N DRAKE AVE,CHICAGO IL 60624,2014-02-01 19:25:00,2014-07-31,2015-02-25,1490,not-sustained
1072171,4526,03D,,600,No Affidavit,Unsustained,0,1121,17,746,N TRUMBULL AVE,CHICAGO IL 60624,2014-02-07 12:45:00,2014-10-22,2014-12-16,333,not-sustained
1048719,4527,10J,,600,No Affidavit,Unsustained,0,0511,17,722,E 103RD ST,CHICAGO IL 60628,2011-09-19 19:00:00,2011-09-22,2012-01-13,62,not-sustained
1053891,4527,05B,NS,600,Not Sustained,Unsustained,0,0531,19,,,,2012-05-02 10:00:00,2012-05-09,2014-02-14,656,not-sustained
1049420,4528,03G,,600,No Affidavit,Unsustained,0,1633,17,3913,N CENTRAL AVE,CHICAGO IL 60634,2011-10-19 00:01:00,2011-10-19,2012-02-09,239,not-sustained
1051834,4530,09J,UN,600,Unfounded,Unsustained,0,1931,03,3149,N WOLCOTT AVE,CHICAGO IL 60657,2012-02-10 14:00:00,2012-02-10,2012-06-27,567,not-sustained
1051940,4530,09J,SU,000,Sustained,Resigned,r,1931,14,3149,N WOLCOTT AVE,CHICAGO IL 60657,2012-02-16 00:00:00,2012-02-16,2012-10-12,940,sustained
1052519,4530,09J,UN,600,Unfounded,Unsustained,0,1224,19,,,,2012-03-05 14:00:00,2012-03-12,2012-08-09,940,not-sustained
