officer_id,crid
356,1045377
9397,1045378
4145,1045382
9563,1045382
625,1045453
6216,1045453
8980,1045453
9036,1045453
9068,1045453
9071,1045453
9084,1045453
9286,1045453
9318,1045453
9363,1045453
9423,1045453
9463,1045453
9485,1045453
9644,1045453
6430,1045456
9340,1045458
9488,1045516
4218,1045537
9330,1045562
9589,1045562
7701,1045598
8949,1045598
2127,1045608
4053,1045608
8147,1045608
1730,1045630
9591,1045655
1980,1045666
8688,1045666
292,1045676
9667,1045680
3350,1045693
1175,1045701
3627,1045701
3823,1045701
5577,1045701
5602,1045701
390,1045712
4516,1045712
5932,1045712
8275,1045712
4091,1045739
770,1045743
6982,1045743
8307,1045743
8878,1045743
1534,1045753
3460,1045753
5409,1045753
9208,1045753
9076,1045756
3398,1045758
9108,1045758
9156,1045765
2009,1045775
3383,1045775
6090,1045795
5722,1045800
8989,1045801
2492,1045821
4431,1045922
5417,1045922
8779,1045922
1347,1045935
1712,1045935
1713,1045935
5939,1045935
6924,1045963
9442,1045963
5155,1045994
9656,1046035
9383,1046074
2790,1046077
7516,1046077
8497,1046077
9043,1046077
9469,1046088
8958,1046092
4113,1046095
9062,1046095
9282,1046095
2860,1046110
9161,1046130
28,1046137
6180,1046137
3586,1046140
3858,1046140
7508,1046140
9701,1046140
9246,1046153
268,1046184
1098,1046184
1538,1046184
843,1046223
9314,1046309
6280,1046316
0,1046414
9132,1046420
4554,1046484
9056,1046484
9359,1046484
4168,1046512
3646,1046519
4349,1046519
8142,1046519
3055,1046552
304,1046553
1975,1046553
2159,1046553
2705,1046553
3486,1046553
4518,1046553
5106,1046553
5279,1046553
6034,1046553
7420,1046553
9266,1046553
9414,1046553
9665,1046553
4109,1046585
5599,1046585
0,1046601
6166,1046613
9092,1046619
4546,1046639
8965,1046639
5342,1046653
990,1046712
1882,1046726
3454,1046726
4188,1046726
5450,1046726
3925,1046765
8055,1046772
3850,1046864
1163,1046875
6335,1046875
7005,1046875
7626,1046875
8422,1046875
8600,1046875
5467,1046901
9007,1046901
9155,1046901
9557,1046901
7086,1046910
8988,1046910
2329,1046941
5350,1046941
5573,1046941
7687,1046941
8983,1046941
9029,1046941
9072,1046941
9300,1046941
9370,1046941
9524,1046941
9537,1046941
1204,1046946
3787,1046947
7295,1046980
1788,1047001
