,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
19209,1044283,0.0,,,,Unknown,Unknown,?,232.0,04,5101.0,S WENTWORTH AVE,CHICAGO IL,2011-03-27 11:00:00,2011-03-27,2011-04-04,702.0,unknown
19212,1044293,0.0,,,,Unknown,Unknown,?,1531.0,17,658.0,N LECLAIRE AVE,CHICAGO IL 60644,2011-03-27 14:50:00,2011-03-27,2011-07-26,1308.0,unknown
19213,1044300,0.0,,,,Unknown,Unknown,?,424.0,17,9100.0,S BURLEY AVE,CHICAGO IL,2011-03-27 18:00:00,2011-03-27,2011-10-18,845.0,unknown
19214,1044301,0.0,,,,Unknown,Unknown,?,1011.0,17,1400.0,S CENTRAL PARK AVE,CHICAGO IL 60623,2011-03-27 21:15:00,2011-03-27,2011-05-19,143.0,unknown
19215,1044304,0.0,,,,Unknown,Unknown,?,1513.0,04,5701.0,W MADISON ST,CHICAGO IL 60644,2011-03-27 20:22:00,2011-03-28,2011-06-21,347.0,unknown
19216,1044309,0.0,,,,Unknown,Unknown,?,532.0,17,11700.0,S CALUMET AVE,CHICAGO IL 60628,2011-03-27 22:45:00,2011-03-28,2011-06-06,906.0,unknown
19218,1044314,0.0,,,,Unknown,Unknown,?,2431.0,17,6800.0,N LAKEWOOD AVE,CHICAGO IL,2011-03-28 00:00:00,2011-03-28,2011-06-17,958.0,unknown
19219,1044339,0.0,,,,Unknown,Unknown,?,,17,6400.0,N DEVON AVE,CHICAGO IL,2011-03-28 15:30:00,2011-03-29,2012-02-22,316.0,unknown
19221,1044342,0.0,,,,Unknown,Unknown,?,934.0,17,5225.0,S PEORIA ST,CHICAGO IL,2011-03-23 21:45:00,2011-03-29,2011-06-15,572.0,unknown
19223,1044346,0.0,,,,Unknown,Unknown,?,825.0,17,6101.0,S WESTERN AVE,CHICAGO IL,2011-03-29 11:10:00,2011-03-29,2013-07-17,899.0,unknown
19224,1044349,0.0,,,,Unknown,Unknown,?,823.0,04,3420.0,W 63RD ST,CHICAGO IL,2011-03-29 13:30:00,2011-03-29,2011-06-23,143.0,unknown
19225,1044357,0.0,,,,Unknown,Unknown,?,2111.0,17,138.0,W CERMAK RD,CHICAGO IL 60616,2011-03-29 15:06:00,2011-03-29,2011-04-14,702.0,unknown
19226,1044362,0.0,,,,Unknown,Unknown,?,1931.0,17,2912.0,N LINCOLN AVE,CHICAGO IL 60657,2011-03-30 07:00:00,2011-03-30,2011-04-11,702.0,unknown
19227,1044364,0.0,,,,Unknown,Unknown,?,732.0,17,7239.0,S EMERALD AVE,CHICAGO IL 60621,2011-03-29 15:00:00,2011-03-30,2011-06-23,333.0,unknown
19230,1044371,0.0,,,,Unknown,Unknown,?,124.0,17,225.0,N MICHIGAN AVE,CHICAGO IL 60601,2011-03-29 00:00:00,2011-03-30,2011-06-30,386.0,unknown
19231,1044377,0.0,,,,Unknown,Unknown,?,412.0,17,8519.0,S DORCHESTER AVE,CHICAGO IL,2011-03-28 00:01:00,2011-03-30,2011-06-01,1138.0,unknown
19232,1044379,0.0,,,,Unknown,Unknown,?,2531.0,17,5910.0,W NORTH AVE,CHICAGO IL 60639,2011-03-30 21:00:00,2011-03-31,2013-02-28,613.0,unknown
19233,1044380,0.0,,,,Unknown,Unknown,?,1821.0,11,1200.0,N CLARK ST,CHICAGO IL 60610,2011-03-29 19:15:00,2011-03-31,2011-05-19,173.0,unknown
19234,1044381,0.0,,,,Unknown,Unknown,?,1022.0,04,3200.0,W OGDEN SD,CHICAGO IL 60623,2011-03-31 00:01:00,2011-03-31,2011-06-15,552.0,unknown
