,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1913,1066221,913.0,10U,,600.0,No Affidavit,Unsustained,0,232.0,17,5825.0,S PRAIRIE AVE,CHICAGO IL,2013-11-20 10:30:00,2013-11-21,2014-02-13,854.0,not-sustained
1914,1060538,914.0,03G,,600.0,No Affidavit,Unsustained,0,822.0,17,5100.0,S LAWNDALE AVE,CHICAGO IL,2013-03-05 22:00:00,2013-03-05,2013-06-13,946.0,not-sustained
1915,1069870,914.0,03G,,600.0,No Affidavit,Unsustained,0,513.0,17,10920.0,S INDIANA AVE,CHICAGO IL,2014-06-14 16:00:00,2014-06-18,2014-09-05,231.0,not-sustained
1916,1044776,915.0,05B,UN,600.0,Unfounded,Unsustained,0,713.0,17,1438.0,W 63RD ST,CHICAGO IL 60636,2011-04-15 00:00:00,2011-04-16,2013-07-18,1472.0,not-sustained
1917,1049831,915.0,10Z,,600.0,No Affidavit,Unsustained,0,712.0,17,5800.0,S CARPENTER ST,CHICAGO IL,2011-11-06 02:00:00,2011-11-06,2012-02-21,333.0,not-sustained
1918,1055302,915.0,05A,UN,600.0,Unfounded,Unsustained,0,712.0,17,6000.0,S ABERDEEN ST,CHICAGO IL,2012-07-03 01:00:00,2012-07-05,2014-01-29,1481.0,not-sustained
1919,1062500,915.0,03D,,,Unknown,Unknown,?,725.0,17,6600.0,S MARSHFIELD AVE,CHICAGO IL,2013-05-26 22:20:00,2013-05-26,2013-08-09,651.0,unknown
1920,1067566,915.0,07F,,600.0,No Affidavit,Unsustained,0,725.0,17,6810.0,S ASHLAND AVE,CHICAGO IL 60636,2014-02-18 08:54:00,2014-02-18,2014-04-09,472.0,not-sustained
1921,1067671,915.0,07F,,600.0,No Affidavit,Unsustained,0,723.0,17,6401.0,S HALSTED ST,CHICAGO IL 60621,2014-01-31 10:44:00,2014-02-24,2014-04-08,472.0,not-sustained
1925,1068967,918.0,,,,Unknown,Unknown,?,532.0,17,251.0,E 121ST PL,CHICAGO IL,2014-05-02 21:30:00,2014-05-05,,1274.0,open-investigation
1926,1044922,921.0,05A,UN,600.0,Unfounded,Unsustained,0,1113.0,17,4445.0,W WILCOX ST,CHICAGO IL 60624,2011-04-23 00:00:00,2011-04-23,2013-07-31,297.0,not-sustained
1927,1067128,921.0,04J,,600.0,No Affidavit,Unsustained,0,2533.0,17,1445.0,N CICERO AVE,CHICAGO IL 60651,2014-01-16 19:40:00,2014-01-21,2014-05-23,289.0,not-sustained
1928,1067449,921.0,04B,,600.0,No Affidavit,Unsustained,0,2534.0,17,4000.0,W GRAND AVE,CHICAGO IL 60651,2014-02-02 23:00:00,2014-02-11,2014-08-05,289.0,not-sustained
1929,1045406,922.0,05K,SU,3.0,Sustained,3,3,1611.0,17,7730.0,W JEROME ST,CHICAGO IL,2011-05-13 00:00:00,2011-05-13,2012-10-26,291.0,disciplined
1930,1053896,922.0,10U,UN,600.0,Unfounded,Unsustained,0,1722.0,04,4650.0,N PULASKI RD,CHICAGO IL 60630,2012-05-08 00:00:00,2012-05-09,2012-07-25,1045.0,not-sustained
1932,1056907,923.0,03D,,600.0,No Affidavit,Unsustained,0,1133.0,17,3700.0,W FLOURNOY ST,CHICAGO IL,2012-09-07 18:55:00,2012-09-07,2012-11-28,1278.0,not-sustained
1934,1063091,923.0,07B,EX,600.0,Exonerated,Unsustained,0,121.0,17,427.0,W MADISON ST,CHICAGO IL,2013-05-17 17:00:00,2013-06-24,2014-05-30,807.0,not-sustained
1935,1057365,924.0,03G,,600.0,No Affidavit,Unsustained,0,3100.0,17,633.0,W HOWARD ST,EVANSTON IL 60202,2012-09-25 10:10:00,2012-09-26,2012-11-29,558.0,not-sustained
1936,1064449,924.0,,,,Unknown,Unknown,?,1115.0,17,4121.0,W ADAMS ST,CHICAGO IL 60624,2013-08-23 13:00:00,2013-08-23,,558.0,open-investigation
1941,1047685,927.0,05H,,600.0,No Affidavit,Unsustained,0,1832.0,17,600.0,N CLARK ST,CHICAGO IL,2011-08-13 14:18:00,2011-08-13,2011-10-17,572.0,not-sustained
1942,1066703,927.0,05L,NS,600.0,Not Sustained,Unsustained,0,1832.0,17,867.0,N DEARBORN ST,CHICAGO IL 60610,2013-12-20 14:22:00,2013-12-20,2014-08-20,1156.0,not-sustained
1945,1065868,928.0,10V,NS,600.0,Not Sustained,Unsustained,0,1622.0,17,6019.0,W HIGGINS AVE,CHICAGO IL,2013-03-19 08:15:00,2013-11-04,2014-05-05,833.0,not-sustained
1946,1047344,930.0,10U,,600.0,No Affidavit,Unsustained,0,2413.0,17,6000.0,N LINCOLN AVE,CHICAGO IL,2011-07-30 16:33:00,2011-07-30,2011-10-25,1366.0,not-sustained
1947,1061600,929.0,03B,,600.0,No Affidavit,Unsustained,0,2533.0,17,5000.0,W LE MOYNE ST,CHICAGO IL 60651,2013-04-18 13:00:00,2013-04-19,2013-07-02,909.0,not-sustained
1949,1056920,932.0,10U,UN,600.0,Unfounded,Unsustained,0,1232.0,17,1130.0,W TAYLOR ST,CHICAGO IL 60607,2012-09-08 00:00:00,2012-09-08,2012-11-16,534.0,not-sustained
1950,1048231,933.0,05A,,600.0,No Affidavit,Unsustained,0,131.0,04,1718.0,S STATE ST,CHICAGO IL 60616,2011-09-03 00:00:00,2011-09-03,2012-04-16,319.0,not-sustained
1951,1062153,933.0,05Q,,600.0,No Affidavit,Unsustained,0,412.0,17,8701.0,S EAST END AVE,CHICAGO IL 60617,2012-11-10 19:30:00,2013-05-13,2014-08-19,798.0,not-sustained
1952,1063382,933.0,05N,NS,600.0,Not Sustained,Unsustained,0,222.0,17,4737.0,S INGLESIDE AVE,CHICAGO IL 60615,2013-07-08 19:46:00,2013-07-09,2014-04-11,1021.0,not-sustained
1953,1064803,933.0,09A,NS,600.0,Not Sustained,Unsustained,0,313.0,17,6127.0,S CHAMPLAIN AVE,CHICAGO IL,2013-09-09 23:30:00,2013-09-10,2014-09-17,948.0,not-sustained
1955,1048775,935.0,03G,,600.0,No Affidavit,Unsustained,0,332.0,17,7000.0,S JEFFERY BLVD,CHICAGO IL,2011-09-23 17:30:00,2011-09-23,2012-02-09,1380.0,not-sustained
1958,1055222,936.0,03B,NS,600.0,Not Sustained,Unsustained,0,624.0,17,7653.0,S DOBSON AVE,CHICAGO IL 60619,2012-07-02 00:00:00,2012-07-02,2012-10-12,1014.0,not-sustained
1960,1057457,936.0,03G,,600.0,No Affidavit,Unsustained,0,624.0,17,7625.0,S EBERHART AVE,CHICAGO IL,2012-08-26 18:00:00,2012-10-01,2012-10-12,9.0,not-sustained
1961,1057046,936.0,10P,SU,1.0,Sustained,1,1,511.0,17,9642.0,S DR MARTIN LUTHER KING JR DR,CHICAGO IL 60628,2012-09-13 23:00:00,2012-09-14,2014-11-05,891.0,disciplined
1962,1058268,936.0,03B,,600.0,No Affidavit,Unsustained,0,611.0,17,7700.0,S HONORE ST,CHICAGO IL 60620,2012-11-07 22:45:00,2012-11-08,2013-02-19,891.0,not-sustained
1963,1059317,936.0,03G,NS,600.0,Not Sustained,Unsustained,0,621.0,17,7900.0,S PEORIA ST,CHICAGO IL,2013-01-01 00:30:00,2013-01-03,2013-02-25,939.0,not-sustained
1964,1068785,936.0,03G,,600.0,No Affidavit,Unsustained,0,323.0,17,432.0,E 75TH ST,CHICAGO IL 60619,2014-04-14 19:00:00,2014-04-25,2014-10-01,1240.0,not-sustained
1965,1069582,936.0,03G,,600.0,No Affidavit,Unsustained,0,633.0,17,9363.0,S BURNSIDE AVE,CHICAGO IL,2014-04-28 16:00:00,2014-06-04,2015-02-18,1240.0,not-sustained
1966,1072352,936.0,03G,,,Unknown,Unknown,?,633.0,17,9220.0,S DAUPHIN AVE,CHICAGO IL,2014-11-02 20:58:00,2014-11-02,2015-01-26,1240.0,unknown
1967,1049524,937.0,05M,EX,600.0,Exonerated,Unsustained,0,2232.0,14,10330.0,S ELIZABETH ST,CHICAGO IL 60643,2011-10-24 00:00:00,2011-10-24,2014-05-19,981.0,not-sustained
1968,1052035,938.0,,,,Unknown,Unknown,?,225.0,04,5101.0,S WENTWORTH AVE,CHICAGO IL,2012-02-15 04:30:00,2012-02-21,2012-05-21,208.0,unknown
1970,1059587,939.0,,,,Unknown,Unknown,?,621.0,17,750.0,W 79TH ST,CHICAGO IL 60620,2012-11-18 22:54:00,2013-01-17,,290.0,open-investigation
1972,1051415,940.0,03G,,600.0,No Affidavit,Unsustained,0,834.0,17,8359.0,S KEATING AVE,CHICAGO IL 60652,2012-01-23 00:00:00,2012-01-23,2012-04-11,1091.0,not-sustained
1973,1052672,940.0,05A,NS,600.0,Not Sustained,Unsustained,0,822.0,17,5400.0,S ST LOUIS AVE,CHICAGO IL 60632,2012-03-18 00:00:00,2012-03-19,2014-01-23,899.0,not-sustained
1975,1069591,940.0,05A,UN,600.0,Unfounded,Unsustained,0,1915.0,17,4355.0,N SHERIDAN RD,CHICAGO IL,2014-05-23 23:00:00,2014-06-04,2015-01-08,960.0,not-sustained
1976,1071395,940.0,10U,,600.0,No Affidavit,Unsustained,0,1924.0,17,1212.0,W HENDERSON ST,CHICAGO IL 00000,2014-09-05 17:20:00,2014-09-05,2014-10-20,1074.0,not-sustained
1977,1048078,941.0,05A,,600.0,No Affidavit,Unsustained,0,1624.0,17,4933.0,W CUYLER AVE,CHICAGO IL,2011-07-14 07:00:00,2011-08-29,2011-12-16,1355.0,not-sustained
1979,1058293,942.0,10U,,600.0,No Affidavit,Unsustained,0,1223.0,17,2136.0,W MADISON ST,CHICAGO IL 60612,2012-11-08 21:00:00,2012-11-09,2013-01-17,653.0,not-sustained
1980,1068220,942.0,10U,NS,600.0,Not Sustained,Unsustained,0,1222.0,17,2444.0,W MADISON ST,CHICAGO IL 60612,2014-03-21 17:45:00,2014-03-26,2014-06-23,106.0,not-sustained
1981,1048419,943.0,10U,,600.0,No Affidavit,Unsustained,0,531.0,04,727.0,E 111TH ST,CHICAGO IL,2011-09-11 17:00:00,2011-09-11,2012-02-09,108.0,not-sustained
1982,1061898,943.0,04E,UN,600.0,Unfounded,Unsustained,0,531.0,04,727.0,E 111TH ST,CHICAGO IL,2012-08-18 19:45:00,2013-05-01,2013-10-17,583.0,not-sustained
1983,1045106,944.0,10U,,600.0,No Affidavit,Unsustained,0,1812.0,17,2277.0,N LINCOLN AVE,CHICAGO IL,2011-04-30 23:47:00,2011-05-03,2011-07-19,940.0,not-sustained
1985,1065545,946.0,,,,Unknown,Unknown,?,,17,5700.0,S ST. LOUIS,CHICAGO IL,2013-10-16 08:20:00,2013-10-16,,572.0,open-investigation
1987,1060042,950.0,03B,,,Unknown,Unknown,?,1113.0,17,4525.0,W MADISON ST,CHICAGO IL 60624,2013-02-09 00:00:00,2013-02-09,2013-03-18,1292.0,unknown
1988,1060048,950.0,10U,,600.0,No Affidavit,Unsustained,0,631.0,17,8000.0,S COTTAGE GROVE AVE,CHICAGO IL,2013-02-09 18:05:00,2013-02-09,2013-04-08,1266.0,not-sustained
1989,1062153,950.0,05Q,,600.0,No Affidavit,Unsustained,0,412.0,17,8701.0,S EAST END AVE,CHICAGO IL 60617,2012-11-10 19:30:00,2013-05-13,2014-08-19,798.0,not-sustained
1990,1065285,950.0,03D,,600.0,No Affidavit,Unsustained,0,1235.0,17,2451.0,S ASHLAND AVE,CHICAGO IL,2012-09-14 23:00:00,2013-10-02,2013-11-21,1080.0,not-sustained
1993,1061459,951.0,09K,UN,600.0,Sustained,Reprimand,0,131.0,04,1718.0,S STATE ST,CHICAGO IL,2013-04-13 23:35:00,2013-04-13,2014-06-04,136.0,disciplined
1994,1063968,951.0,03D,,600.0,No Affidavit,Unsustained,0,124.0,17,630.0,W HARRISON ST,CHICAGO IL 60607,2013-04-20 00:00:00,2013-08-01,2013-10-03,578.0,not-sustained
1996,1071839,955.0,,,,Unknown,Unknown,?,2422.0,17,7530.0,N PAULINA ST,CHICAGO IL 60626,2014-10-03 21:06:00,2014-10-05,,734.0,open-investigation
1998,1053933,956.0,10D,,600.0,No Affidavit,Unsustained,0,621.0,11,7900.0,S VINCENNES AVE,CHICAGO IL 60620,2012-05-10 00:00:00,2012-05-10,2012-08-17,419.0,not-sustained
2001,1060911,956.0,04B,EX,600.0,Exonerated,Unsustained,0,621.0,04,7808.0,S HALSTED ST,CHICAGO IL,2013-03-11 13:00:00,2013-03-26,2013-07-11,939.0,not-sustained
2004,1062978,958.0,,,,Unknown,Unknown,?,1423.0,17,2744.0,W DIVISION ST,CHICAGO IL,2013-06-14 21:15:00,2013-06-19,,1081.0,open-investigation
2005,1063847,959.0,10J,SU,100.0,Sustained,Reprimand,0,131.0,04,1718.0,S STATE ST,CHICAGO IL 60616,2013-05-20 09:00:00,2013-07-27,2014-07-22,1310.0,disciplined
2006,1065875,960.0,10D,,600.0,No Affidavit,Unsustained,0,222.0,17,4917.0,S DREXEL BLVD,CHICAGO IL,2013-11-04 15:35:00,2013-11-04,2014-02-26,1187.0,not-sustained
2007,1050290,961.0,10M,SU,10.0,Sustained,Resigned,r,133.0,04,300.0,E 29TH ST,CHICAGO IL,2011-11-27 18:15:00,2011-11-27,2013-04-18,398.0,sustained
2009,1056213,962.0,10U,,600.0,No Affidavit,Unsustained,0,225.0,04,5101.0,S WENTWORTH AVE,CHICAGO IL 60609,2012-08-08 19:00:00,2012-08-10,2012-10-31,575.0,not-sustained
2010,1053605,963.0,10Z,SU,0.0,Sustained,1,1,712.0,17,6000.0,S PEORIA ST,CHICAGO IL 60621,2012-04-25 00:00:00,2012-04-26,2015-02-03,1198.0,disciplined
2011,1057215,963.0,05H,UN,600.0,Unfounded,Unsustained,0,735.0,17,2015.0,W 70TH ST,CHICAGO IL 60636,2012-09-18 00:00:00,2012-09-20,2013-12-30,771.0,not-sustained
2012,1045964,964.0,03G,UN,600.0,Not Sustained,Unsustained,0,832.0,17,7000.0,S OAKLEY AVE,CHICAGO IL 60636,2011-06-06 00:00:00,2011-06-07,2011-07-29,1091.0,not-sustained
2013,1047325,964.0,03D,,600.0,No Affidavit,Unsustained,0,824.0,17,5600.0,S ARTESIAN AVE,CHICAGO IL,2011-07-29 21:45:00,2011-07-29,2012-02-17,1091.0,not-sustained
2014,1051945,964.0,10U,,600.0,No Affidavit,Unsustained,0,832.0,17,6933.0,S ROCKWELL ST,CHICAGO IL,2012-02-16 16:30:00,2012-02-16,2012-04-11,1091.0,not-sustained
2015,1058417,964.0,03G,,600.0,No Affidavit,Unsustained,0,823.0,17,6300.0,S MOZART ST,CHICAGO IL,2012-11-13 23:00:00,2012-11-14,2013-01-04,1091.0,not-sustained
2016,1055480,965.0,10U,,600.0,No Affidavit,Unsustained,0,323.0,17,7159.0,S PRAIRIE AVE,CHICAGO IL,2012-07-08 21:30:00,2012-07-12,2012-11-07,365.0,not-sustained
2017,1050875,966.0,10U,,600.0,No Affidavit,Unsustained,0,832.0,17,6647.0,S WESTERN AVE,CHICAGO IL,2011-12-24 14:00:00,2011-12-25,2012-03-13,1091.0,not-sustained
2019,1053411,967.0,07F,,,Unknown,Unknown,?,1524.0,17,642.0,N LOTUS AVE,CHICAGO IL 60644,2012-04-14 00:00:00,2012-04-18,2012-05-22,1298.0,unknown
2022,1058212,968.0,04H,,600.0,No Affidavit,Unsustained,0,1414.0,05,2150.0,N CALIFORNIA AVE,CHICAGO IL,2012-11-04 10:30:00,2012-11-05,2013-01-28,767.0,not-sustained
2023,1068749,968.0,10U,,600.0,No Affidavit,Unsustained,0,1423.0,17,2734.0,W DIVISION ST,CHICAGO IL 60622,2014-04-17 09:30:00,2014-04-23,2014-06-24,767.0,not-sustained
2024,1062433,970.0,02D,SU,30.0,Sustained,30,30,1912.0,17,1632.0,W IRVING PARK RD,CHICAGO IL 60613,2013-05-23 00:33:00,2013-05-23,2014-04-30,1279.0,disciplined
2025,1070159,970.0,,,,Unknown,Unknown,?,1523.0,17,5200.0,W LAKE ST,CHICAGO IL,2014-07-05 00:53:00,2014-07-05,,437.0,open-investigation
2028,1044769,973.0,05L,,600.0,No Affidavit,Unsustained,0,1821.0,03,1232.0,N LA SALLE DR,CHICAGO IL 60610,2011-04-16 00:00:00,2011-04-16,2011-07-21,572.0,not-sustained
2030,1057517,974.0,05A,EX,600.0,Exonerated,Unsustained,0,522.0,17,106.0,W 113TH PL,CHICAGO IL,2011-04-11 20:26:00,2012-10-03,2013-12-11,300.0,not-sustained
2031,1062221,974.0,03D,,600.0,No Affidavit,Unsustained,0,523.0,17,12131.0,S EMERALD AVE,CHICAGO IL 60628,2011-09-21 00:00:00,2013-05-15,2014-07-21,83.0,not-sustained
2032,1053308,974.0,03C,,600.0,No Affidavit,Unsustained,0,524.0,17,11527.0,S LAFLIN ST,CHICAGO IL 60643,2012-04-13 00:00:00,2012-04-13,2012-06-27,1464.0,not-sustained
2036,1070617,974.0,10U,EX,600.0,Exonerated,Unsustained,0,512.0,17,10548.0,S WABASH AVE,CHICAGO IL,2014-07-04 03:00:00,2014-07-28,2014-12-15,606.0,not-sustained
2037,1072306,974.0,,,,Unknown,Unknown,?,531.0,04,727.0,E 111TH ST,CHICAGO IL 60628,2014-10-29 16:30:00,2014-10-30,,1158.0,open-investigation
2038,1051220,975.0,05A,NS,600.0,Not Sustained,Unsustained,0,1234.0,17,2352.0,W CERMAK RD,CHICAGO IL,2011-12-12 01:26:00,2012-01-12,2014-02-13,841.0,not-sustained
2039,1056553,975.0,,,,Unknown,Unknown,?,113.0,03,219.0,S DEARBORN ST,CHICAGO IL 60604,2012-08-09 00:00:00,2012-08-24,,127.0,open-investigation
2040,1057700,975.0,10U,,600.0,No Affidavit,Unsustained,0,1022.0,17,3219.0,W DOUGLAS BLVD,CHICAGO IL 60623,2012-07-22 01:45:00,2012-10-11,2012-11-15,45.0,not-sustained
2041,1054556,976.0,10U,,,Unknown,Unknown,?,1123.0,17,3452.0,W JACKSON BLVD,CHICAGO IL 60624,2012-05-19 00:00:00,2012-06-07,2012-08-20,681.0,unknown
2042,1046486,978.0,07F,NS,600.0,Not Sustained,Unsustained,0,423.0,17,8250.0,S MARQUETTE AVE,CHICAGO IL 60617,2011-06-26 00:45:00,2011-06-27,2014-08-20,1326.0,not-sustained
2043,1048088,978.0,05L,NS,600.0,Not Sustained,Unsustained,0,424.0,17,8910.0,S HOUSTON AVE,CHICAGO IL 60617,2011-08-30 00:30:00,2011-08-30,2013-03-01,300.0,not-sustained
2044,1054894,978.0,,,,Unknown,Unknown,?,412.0,17,8502.0,S SOUTH CHICAGO AVE,CHICAGO IL 60617,2011-08-20 00:00:00,2012-06-19,,1149.0,open-investigation
2045,1048919,978.0,03C,,600.0,No Affidavit,Unsustained,0,424.0,17,9200.0,S HOUSTON AVE,CHICAGO IL 60617,2011-09-29 00:00:00,2011-09-29,2012-01-04,1138.0,not-sustained
2046,1049905,978.0,03B,,600.0,No Affidavit,Unsustained,0,421.0,17,7500.0,S COLFAX AVE,CHICAGO IL,2011-10-08 23:30:00,2011-11-09,2012-02-07,1138.0,not-sustained
2047,1050195,978.0,04E,,,Unknown,Unknown,?,531.0,04,727.0,E 111TH ST,CHICAGO IL 60628,2011-11-22 00:00:00,2011-11-22,2012-07-17,336.0,unknown
2048,1050568,978.0,04E,,600.0,No Affidavit,Unsustained,0,422.0,17,8121.0,S HOUSTON AVE,CHICAGO IL 60617,2011-12-04 23:30:00,2011-12-08,2012-07-19,1138.0,not-sustained
2049,1070963,978.0,03D,,600.0,No Affidavit,Unsustained,0,423.0,17,8400.0,S ESSEX AVE,CHICAGO IL 60617,2014-07-31 12:32:00,2014-08-13,2014-10-01,1223.0,not-sustained
2050,1072404,978.0,,,,Unknown,Unknown,?,431.0,17,9847.0,S COMMERCIAL AVE,CHICAGO IL,2014-10-11 18:00:00,2014-11-04,,562.0,open-investigation
2052,1049484,979.0,05A,NS,600.0,Not Sustained,Unsustained,0,825.0,17,6315.0,S CAMPBELL AVE,CHICAGO IL,2011-10-21 21:00:00,2011-10-22,2012-11-07,1456.0,not-sustained
2053,1050228,979.0,05L,NS,600.0,Not Sustained,Unsustained,0,822.0,17,3433.0,W 53RD ST,CHICAGO IL 60632,2011-11-23 11:40:00,2011-11-23,2014-04-22,251.0,not-sustained
2055,1070737,979.0,03D,,600.0,No Affidavit,Unsustained,0,822.0,17,5400.0,S KEDZIE AVE,CHICAGO IL 60632,2014-08-01 23:00:00,2014-08-02,2015-02-04,1474.0,not-sustained
2058,1068208,980.0,10T,,600.0,No Affidavit,Unsustained,0,931.0,17,1731.0,W 47TH ST,CHICAGO IL 60609,2014-03-09 14:22:00,2014-03-26,2014-06-12,326.0,not-sustained
2059,1058660,981.0,04D,,600.0,No Affidavit,Unsustained,0,2512.0,17,6012.0,W WRIGHTWOOD AVE,CHICAGO IL,2012-11-27 11:50:00,2012-11-27,2013-01-29,231.0,not-sustained
2060,1060908,981.0,03D,,600.0,No Affidavit,Unsustained,0,2511.0,17,3100.0,N AUSTIN AVE,CHICAGO IL 60634,2013-03-22 00:00:00,2013-03-22,2013-06-13,1242.0,not-sustained
2061,1060918,981.0,05A,,600.0,No Affidavit,Unsustained,0,1633.0,17,3200.0,N AUSTIN AVE,CHICAGO IL,2013-03-22 15:40:00,2013-03-22,2013-05-31,1298.0,not-sustained
2062,1070232,982.0,10U,,600.0,No Affidavit,Unsustained,0,733.0,17,7351.0,S MORGAN ST,CHICAGO IL 60621,2014-07-08 18:25:00,2014-07-09,2014-09-17,112.0,not-sustained
2063,1059524,983.0,07B,,600.0,No Affidavit,Unsustained,0,511.0,17,9715.0,S WENTWORTH AVE,CHICAGO IL,2012-08-22 13:17:00,2013-01-15,2013-03-29,1105.0,not-sustained
2064,1048273,984.0,03D,,600.0,No Affidavit,Unsustained,0,1331.0,12,3101.0,W FULTON BLVD,CHICAGO IL 60612,2011-08-24 00:00:00,2011-09-06,2012-01-04,1058.0,not-sustained
2065,1059086,984.0,01B,UN,600.0,Unfounded,Unsustained,0,1221.0,17,3154.0,W FRANKLIN BLVD,CHICAGO IL 60612,2012-12-11 00:00:00,2012-12-18,2013-12-05,572.0,not-sustained
2066,1063833,984.0,04E,NS,600.0,Not Sustained,Unsustained,0,1233.0,17,1332.0,S THROOP ST,CHICAGO IL,2013-06-08 22:00:00,2013-07-26,2013-10-17,106.0,not-sustained
2067,1051722,986.0,03B,,600.0,No Affidavit,Unsustained,0,822.0,17,5102.0,S ST LOUIS AVE,CHICAGO IL 60632,2012-02-04 00:00:00,2012-02-06,2012-04-09,1091.0,not-sustained
2068,1056787,986.0,05L,UN,600.0,Unfounded,Unsustained,0,1225.0,17,517.0,S WESTERN AVE,CHICAGO IL,2012-09-02 00:00:00,2012-09-02,2013-12-31,760.0,not-sustained
2069,1065436,986.0,10U,,,Unknown,Unknown,?,513.0,17,218.0,W 109TH PL,CHICAGO IL,2013-10-09 15:00:00,2013-10-09,2013-12-09,1158.0,unknown
2070,1070196,986.0,03D,,600.0,No Affidavit,Unsustained,0,511.0,17,1022.0,E 100TH PL,CHICAGO IL,2014-07-05 01:00:00,2014-07-07,2014-10-27,88.0,not-sustained
2071,1050458,987.0,10U,,600.0,No Affidavit,Unsustained,0,324.0,17,7100.0,S DORCHESTER AVE,CHICAGO IL 60619,2011-12-03 23:47:00,2011-12-05,2012-06-01,700.0,not-sustained
2072,1047617,988.0,10U,NS,600.0,Not Sustained,Unsustained,0,234.0,17,346.0,E 53RD ST,CHICAGO IL 60615,2011-08-10 17:30:00,2011-08-10,2012-01-13,342.0,not-sustained
2073,1055162,988.0,05A,UN,600.0,Unfounded,Unsustained,0,234.0,14,5401.0,S HYDE PARK BLVD,CHICAGO IL 60615,2012-06-29 00:00:00,2012-06-30,2014-05-08,613.0,not-sustained
2074,1056651,988.0,05B,NS,600.0,Not Sustained,Unsustained,0,224.0,17,4700.0,S MICHIGAN AVE,CHICAGO IL,2012-08-28 18:30:00,2012-08-28,2013-12-31,1298.0,not-sustained
2075,1058519,988.0,05L,UN,600.0,Unfounded,Unsustained,0,224.0,03,5055.0,S STATE ST,CHICAGO IL 60609,2012-11-19 15:26:00,2012-11-19,2013-12-30,656.0,not-sustained
2076,1066803,988.0,04H,UN,600.0,Unfounded,Unsustained,0,225.0,05,5101.0,S WENTWORTH AVE,CHICAGO IL 60609,2013-12-29 14:00:00,2013-12-30,2015-02-24,645.0,not-sustained
2077,1045984,990.0,05A,NS,600.0,Not Sustained,Unsustained,0,934.0,17,5200.0,S LAFLIN ST,CHICAGO IL 60609,2011-06-04 00:00:00,2011-06-08,2014-07-29,899.0,not-sustained
2078,1046308,990.0,05H,NS,600.0,Not Sustained,Unsustained,0,925.0,11,220.0,W 47TH ST,CHICAGO IL 60609,2011-06-18 00:00:00,2011-06-20,2012-07-06,899.0,not-sustained
2079,1047334,990.0,03G,,600.0,No Affidavit,Unsustained,0,934.0,17,5400.0,S ABERDEEN ST,CHICAGO IL,2011-07-23 12:45:00,2011-07-30,2011-10-24,780.0,not-sustained
2080,1051054,990.0,03D,,600.0,No Affidavit,Unsustained,0,935.0,17,5301.0,S LOWE AVE,CHICAGO IL 60609,2012-01-03 00:00:00,2012-01-04,2012-03-22,780.0,not-sustained
2081,1052270,990.0,05H,NS,600.0,Not Sustained,Unsustained,0,933.0,14,4900.0,S THROOP ST,CHICAGO IL 60609,2012-03-02 00:00:00,2012-03-02,2014-02-04,572.0,not-sustained
2082,1052598,990.0,,,,Unknown,Unknown,?,935.0,17,5317.0,S PRINCETON AVE,CHICAGO IL 60609,2012-03-14 00:00:00,2012-03-15,2012-07-02,780.0,unknown
2083,1056397,990.0,03B,,600.0,No Affidavit,Unsustained,0,711.0,03,5500.0,S PRINCETON AVE,CHICAGO IL 60621,2012-08-18 00:00:00,2012-08-18,2012-12-10,304.0,not-sustained
2084,1058817,990.0,05H,NS,600.0,Not Sustained,Unsustained,0,934.0,17,5200.0,S MAY ST,CHICAGO IL,2012-12-03 21:02:00,2012-12-05,2013-12-30,899.0,not-sustained
2085,1059203,990.0,05A,UN,600.0,Unfounded,Unsustained,0,933.0,17,5000.0,S HALSTED ST,CHICAGO IL,2012-12-04 22:14:00,2012-12-27,2013-12-09,645.0,not-sustained
2086,1059248,990.0,,,,Unknown,Unknown,?,925.0,17,4437.0,S PRINCETON AVE,CHICAGO IL 60609,2012-10-02 12:00:00,2012-12-31,,0.0,open-investigation
2087,1059552,990.0,03D,,600.0,No Affidavit,Unsustained,0,934.0,17,5100.0,S LOOMIS BLVD,CHICAGO IL 60609,2013-01-14 00:00:00,2013-01-16,2013-03-08,304.0,not-sustained
2088,1062630,990.0,05N,NS,600.0,Not Sustained,Unsustained,0,722.0,16,6500.0,S DAN RYAN EXPY OB,CHICAGO IL 60621,2013-03-13 00:00:00,2013-06-03,2014-08-19,1481.0,not-sustained
2089,1063793,990.0,03G,,600.0,No Affidavit,Unsustained,0,925.0,17,4300.0,S WENTWORTH AVE,CHICAGO IL,2013-07-24 20:00:00,2013-07-24,2013-11-08,304.0,not-sustained
2090,1064465,990.0,04E,,600.0,No Affidavit,Unsustained,0,913.0,04,3120.0,S HALSTED ST,CHICAGO IL 60608,2013-08-22 15:00:00,2013-08-24,2013-10-17,304.0,not-sustained
2091,1064964,990.0,01C,UN,600.0,Unfounded,Unsustained,0,935.0,17,242.0,W GARFIELD BLVD,CHICAGO IL,2013-09-17 14:00:00,2013-09-17,2013-11-22,572.0,not-sustained
2092,1071199,990.0,03G,,600.0,No Affidavit,Unsustained,0,933.0,17,1436.0,W 49TH ST,CHICAGO IL,2014-08-26 11:15:00,2014-08-26,2014-11-04,304.0,not-sustained
