centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9792219971, -87.9099188719)",2424,24,25395,15.8 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.97898989999999,-87.90616469999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2880,48 mins,02/25/2016
"(42.0017821394, -87.6674126419)",1611,16,21473,13.3 mi,"1446 W Albion Ave, Chicago, IL 60626, USA",42.0017605,-87.6674161,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3156,53 mins,02/25/2016
"(42.0017821394, -87.6674126419)",1611,16,13078,8.1 mi,"1446 W Albion Ave, Chicago, IL 60626, USA",42.0017605,-87.6674161,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3509,58 mins,02/25/2016
"(41.9903042711, -87.8090482826)",2411,24,27173,16.9 mi,"7255 W Peterson Ave, Chicago, IL 60631, USA",41.9899168,-87.8090264,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.8310051,-87.62706659999999,3843,1 hour 4 mins,02/25/2016
"(41.9903042711, -87.8090482826)",2411,24,17051,10.6 mi,"7255 W Peterson Ave, Chicago, IL 60631, USA",41.9899168,-87.8090264,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2468,41 mins,02/25/2016
"(42.00124176, -87.6939027231)",2033,20,24580,15.3 mi,"2532-2564 W Albion Ave, Chicago, IL 60645, USA",42.0012928,-87.69390519999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4559,1 hour 16 mins,02/25/2016
"(42.00124176, -87.6939027231)",2033,20,13654,8.5 mi,"2532-2564 W Albion Ave, Chicago, IL 60645, USA",42.0012928,-87.69390519999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3663,1 hour 1 min,02/25/2016
"(41.9943975431, -87.664772569)",2423,24,20538,12.8 mi,"1347 W Granville Ave, Chicago, IL 60660, USA",41.994495,-87.66477569999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2963,49 mins,02/25/2016
"(41.9943975431, -87.664772569)",2423,24,12967,8.1 mi,"1347 W Granville Ave, Chicago, IL 60660, USA",41.994495,-87.66477569999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3164,53 mins,02/25/2016
"(41.994098129, -87.6927507154)",1621,16,22442,13.9 mi,"2500-2512 W Granville Ave, Chicago, IL 60659, USA",41.9940442,-87.6927503,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3789,1 hour 3 mins,02/25/2016
"(41.994098129, -87.6927507154)",1621,16,12762,7.9 mi,"2500-2512 W Granville Ave, Chicago, IL 60659, USA",41.9940442,-87.6927503,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3434,57 mins,02/25/2016
"(41.9899565181, -87.7287294801)",2431,24,22778,14.2 mi,"5998 N Pulaski Rd, Chicago, IL 60646, USA",41.9899346,-87.7286326,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3936,1 hour 6 mins,02/25/2016
"(41.9899565181, -87.7287294801)",2431,24,13098,8.1 mi,"5998 N Pulaski Rd, Chicago, IL 60646, USA",41.9899346,-87.7286326,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3064,51 mins,02/25/2016
