centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9952695485, -87.7649838015)",1933,19,15930,9.9 mi,"6330-6340 N Lehigh Ave, Chicago, IL 60646, USA",41.9953461,-87.76472340000001,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1114,19 mins,02/25/2016
"(42.0072878159, -87.6652039291)",2422,24,23333,14.5 mi,"6917-6919 N Wayne Ave, Chicago, IL 60626, USA",42.0072912,-87.6650409,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1799,30 mins,02/25/2016
"(42.0072878159, -87.6652039291)",2422,24,17060,10.6 mi,"6917-6919 N Wayne Ave, Chicago, IL 60626, USA",42.0072912,-87.6650409,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1853,31 mins,02/25/2016
"(41.9792219971, -87.9099188719)",2424,24,34551,21.5 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.9787421,-87.9061193,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1994,33 mins,02/25/2016
"(41.9792219971, -87.9099188719)",2424,24,26362,16.4 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.9787421,-87.9061193,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1630,27 mins,02/25/2016
"(42.0017821394, -87.6674126419)",1611,16,22973,14.3 mi,"1446 W Albion Ave, Chicago, IL 60626, USA",42.0017605,-87.6674161,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1733,29 mins,02/25/2016
"(42.0017821394, -87.6674126419)",1611,16,16700,10.4 mi,"1446 W Albion Ave, Chicago, IL 60626, USA",42.0017605,-87.6674161,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1787,30 mins,02/25/2016
"(41.9903042711, -87.8090482826)",2411,24,26026,16.2 mi,"7255 W Peterson Ave, Chicago, IL 60631, USA",41.9899168,-87.8090264,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1625,27 mins,02/25/2016
"(41.9903042711, -87.8090482826)",2411,24,17837,11.1 mi,"7255 W Peterson Ave, Chicago, IL 60631, USA",41.9899168,-87.8090264,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1260,21 mins,02/25/2016
"(42.00124176, -87.6939027231)",2033,20,24825,15.4 mi,"2532-2564 W Albion Ave, Chicago, IL 60645, USA",42.0012928,-87.69390519999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1964,33 mins,02/25/2016
"(42.00124176, -87.6939027231)",2033,20,14569,9.1 mi,"2532-2564 W Albion Ave, Chicago, IL 60645, USA",42.0012928,-87.69390519999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1743,29 mins,02/25/2016
"(41.9943975431, -87.664772569)",2423,24,21986,13.7 mi,"1347 W Granville Ave, Chicago, IL 60660, USA",41.994495,-87.66477569999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1614,27 mins,02/25/2016
"(41.9943975431, -87.664772569)",2423,24,11455,7.1 mi,"1347 W Granville Ave, Chicago, IL 60660, USA",41.994495,-87.66477569999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1725,29 mins,02/25/2016
"(41.994098129, -87.6927507154)",1621,16,23938,14.9 mi,"2500-2512 W Granville Ave, Chicago, IL 60659, USA",41.9940442,-87.6927503,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1839,31 mins,02/25/2016
"(41.994098129, -87.6927507154)",1621,16,13683,8.5 mi,"2500-2512 W Granville Ave, Chicago, IL 60659, USA",41.9940442,-87.6927503,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1618,27 mins,02/25/2016
"(41.9899565181, -87.7287294801)",2431,24,24980,15.5 mi,"5893 N Pulaski Rd, Chicago, IL 60646, USA",41.9899526,-87.7286311,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1559,26 mins,02/25/2016
