officer_id,centrality_score
2095,0.0008965595
4330,0.0010086294
7471,0
5010,0.0007844895
800,0.0004482797
2249,0.0002241399
6975,0.0003362098
6083,0.0006724196
7883,0.0002241399
3533,0.0005603497
8903,0.0002241399
182,0.0001120699
8608,0.0012327692
7675,0.0006724196
3953,0
288,0.0008965595
6184,0.0038103777
6633,0.0022413986
1994,0.0001120699
7296,0.0010086294
2729,0.0003362098
4950,0.0001120699
8396,0.0012327692
2101,0.0002241399
1239,0.001568979
297,0.0002241399
5303,0.0028017483
7274,0.0002241399
8779,0.0002241399
3416,0.0010086294
2553,0.0005603497
1410,0.0004482797
4099,0.0003362098
564,0
7394,0.0008965595
139,0.0005603497
5151,0.0001120699
1395,0
2372,0.0005603497
6788,0.0004482797
7468,0.0005603497
5106,0
1213,0
3582,0.0003362098
2676,0.0002241399
6977,0.0008965595
2656,0.0040345175
5367,0
2428,0.0026896784
2408,0.0040345175
1684,0.0011206993
3054,0.0002241399
1314,0.0011206993
2645,0.0005603497
7392,0.0008965595
6361,0.0036983077
2523,0
7289,0.0028017483
1176,0.0006724196
8460,0.0029138182
3939,0.0036983077
5951,0.0007844895
7983,0.0013448392
3852,0.0029138182
2880,0.0001120699
793,0.001568979
4758,0.0001120699
7385,0
4813,0.0004482797
5253,0.0001120699
5280,0.0028017483
5828,0.0003362098
5468,0.0001120699
912,0.0001120699
3335,0.0001120699
5671,0.0007844895
3053,0.0006724196
189,0.0002241399
6724,0.0045948672
2067,0.0003362098
8525,0
2437,0.0002241399
7374,0.0011206993
401,0.0008965595
5230,0.0001120699
3932,0.0005603497
891,0.0001120699
6380,0
1960,0
8558,0.0006724196
5383,0.0013448392
1630,0.0004482797
5213,0.0006724196
5099,0.0001120699
2650,0.0001120699
7336,0.0051552169
5868,0.0001120699
7211,0.0001120699
6235,0
2363,0.0010086294
8257,0.0029138182
6811,0.0004482797
3559,0.0006724196
2839,0.0001120699
804,0.0010086294
950,0.0007844895
6946,0.0001120699
7338,0.0019051888
6892,0.0002241399
8251,0.0001120699
72,0.0005603497
7443,0.0004482797
4972,0.0001120699
5820,0.0002241399
1038,0.0002241399
4168,0.0005603497
5682,0
6585,0.0002241399
2998,0.0020172588
631,0.0001120699
4999,0.0001120699
543,0.0001120699
8387,0.0035862378
4498,0.0004482797
8676,0.0011206993
6089,0.0001120699
4952,0.0001120699
6984,0
1629,0.0002241399
5754,0
7418,0
4394,0.0001120699
7363,0.0022413986
954,0.0039224476
7976,0.0013448392
3951,0.0017931189
7812,0.0001120699
6122,0
1728,0.0001120699
7742,0.0007844895
1876,0.0002241399
3904,0.0004482797
3020,0.0002241399
396,0.0002241399
1200,0.0012327692
4173,0
994,0.0003362098
5143,0.0011206993
5712,0.0012327692
5489,0.0001120699
5185,0.0007844895
4749,0.0033620979
8288,0.0001120699
8145,0.0004482797
4568,0.0002241399
410,0.0013448392
7002,0.0002241399
3282,0.0001120699
8364,0.0004482797
5914,0.0002241399
4372,0.0002241399
795,0
4647,0
3717,0.0002241399
8917,0.001568979
6812,0
841,0.0001120699
159,0.0003362098
8556,0.0001120699
